collector_id,collector_name,total_cases,resolved_cases,escalated_cases,resolution_rate,escalation_rate,amount_assigned,amount_collected,avg_resolution_days,cei_percentage,assessment_date
REP000019,Shalini Gupta,20,0,5,0.00%,25.00%,12548718.61,0.00,0.0,0.00%,2025-04-17
REP000029,Rajesh Mishra,25,0,1,0.00%,4.00%,18710236.97,0.00,0.0,0.00%,2025-04-17
REP000034,Rani Mishra,28,0,3,0.00%,10.71%,10951799.67,0.00,0.0,0.00%,2025-04-17
REP000009,Rajesh Gupta,30,0,5,0.00%,16.67%,17732370.86,0.00,0.0,0.00%,2025-04-17
REP000044,Sunil Joshi,33,0,6,0.00%,18.18%,18998174.07,0.00,0.0,0.00%,2025-04-17
REP000043,Vijay Joshi,24,0,4,0.00%,16.67%,15985214.68,0.00,0.0,0.00%,2025-04-17
REP000037,Meena Mishra,23,0,4,0.00%,17.39%,6936558.96,0.00,0.0,0.00%,2025-04-17
REP000039,Shalini Mishra,28,0,3,0.00%,10.71%,7618528.04,0.00,0.0,0.00%,2025-04-17
REP000021,Raj Mishra,23,0,1,0.00%,4.35%,12739357.73,0.00,0.0,0.00%,2025-04-17
REP000018,Kavita Gupta,33,0,6,0.00%,18.18%,15619944.75,0.00,0.0,0.00%,2025-04-17
REP000025,Anil Mishra,30,0,5,0.00%,16.67%,11189563.37,0.00,0.0,0.00%,2025-04-17
REP000008,Rakesh Gupta,24,0,2,0.00%,8.33%,15208486.13,0.00,0.0,0.00%,2025-04-17
REP000005,Anil Gupta,20,0,2,0.00%,10.00%,10301524.51,0.00,0.0,0.00%,2025-04-17
REP000047,Sanjay Joshi,27,0,4,0.00%,14.81%,17417041.23,0.00,0.0,0.00%,2025-04-17
REP000023,Vijay Mishra,27,0,5,0.00%,18.52%,12998851.92,0.00,0.0,0.00%,2025-04-17
REP000035,Sunita Mishra,34,0,2,0.00%,5.88%,19109089.63,0.00,0.0,0.00%,2025-04-17
REP000013,Pooja Gupta,22,0,3,0.00%,13.64%,11917171.27,0.00,0.0,0.00%,2025-04-17
REP000030,Ashok Mishra,32,0,3,0.00%,9.38%,11624864.21,0.00,0.0,0.00%,2025-04-17
REP000031,Priya Mishra,22,0,2,0.00%,9.09%,11011869.18,0.00,0.0,0.00%,2025-04-17
REP000007,Sanjay Gupta,31,0,2,0.00%,6.45%,18694259.74,0.00,0.0,0.00%,2025-04-17
REP000001,Raj Gupta,28,0,3,0.00%,10.71%,11911026.92,0.00,0.0,0.00%,2025-04-17
REP000003,Vijay Gupta,27,0,4,0.00%,14.81%,12122854.84,0.00,0.0,0.00%,2025-04-17
REP000046,Rahul Joshi,25,0,4,0.00%,16.00%,10350286.95,0.00,0.0,0.00%,2025-04-17
REP000045,Anil Joshi,23,0,3,0.00%,13.04%,14917298.26,0.00,0.0,0.00%,2025-04-17
REP000048,Rakesh Joshi,35,0,6,0.00%,17.14%,18366429.00,0.00,0.0,0.00%,2025-04-17
REP000014,Rani Gupta,26,0,5,0.00%,19.23%,18508960.34,0.00,0.0,0.00%,2025-04-17
REP000032,Neha Mishra,31,0,4,0.00%,12.90%,8425299.37,0.00,0.0,0.00%,2025-04-17
REP000033,Pooja Mishra,31,0,6,0.00%,19.35%,25776955.97,0.00,0.0,0.00%,2025-04-17
REP000015,Sunita Gupta,20,0,5,0.00%,25.00%,7295818.54,0.00,0.0,0.00%,2025-04-17
REP000022,Amit Mishra,34,0,7,0.00%,20.59%,22810909.47,0.00,0.0,0.00%,2025-04-17
REP000006,Rahul Gupta,31,0,4,0.00%,12.90%,14001173.71,0.00,0.0,0.00%,2025-04-17
REP000027,Sanjay Mishra,21,0,1,0.00%,4.76%,6910111.85,0.00,0.0,0.00%,2025-04-17
REP000012,Neha Gupta,25,0,7,0.00%,28.00%,10472775.11,0.00,0.0,0.00%,2025-04-17
REP000002,Amit Gupta,19,0,5,0.00%,26.32%,9290070.95,0.00,0.0,0.00%,2025-04-17
REP000038,Kavita Mishra,23,0,5,0.00%,21.74%,17430765.08,0.00,0.0,0.00%,2025-04-17
REP000028,Rakesh Mishra,22,0,5,0.00%,22.73%,6065344.66,0.00,0.0,0.00%,2025-04-17
REP000011,Priya Gupta,18,0,3,0.00%,16.67%,9859270.99,0.00,0.0,0.00%,2025-04-17
REP000042,Amit Joshi,30,0,5,0.00%,16.67%,14683150.24,0.00,0.0,0.00%,2025-04-17
REP000004,Sunil Gupta,22,0,4,0.00%,18.18%,9622999.70,0.00,0.0,0.00%,2025-04-17
REP000049,Rajesh Joshi,27,0,5,0.00%,18.52%,14609658.32,0.00,0.0,0.00%,2025-04-17
REP000026,Rahul Mishra,24,0,8,0.00%,33.33%,12978881.96,0.00,0.0,0.00%,2025-04-17
REP000050,Ashok Joshi,15,0,4,0.00%,26.67%,8685663.48,0.00,0.0,0.00%,2025-04-17
