invoice_id,customer_id,customer_name,invoice_date,due_date,invoice_amount,tax_amount,total_amount,paid_amount,balance_amount,payment_status,payment_date,payment_terms,currency,sales_rep_id,sales_rep_name,reference_number,tax_type
INV0000001,CUST000001,Tata Tech Limited,2025-02-25,2025-03-12,296255.97,82951.67,379207.64,379207.64,0.00,Paid,2025-03-31,Net 15,INR,REP000012,Neha Gupta,PO-471556,GST28
INV0000002,CUST000001,Tata Tech Limited,2024-12-22,2025-01-06,392552.49,47106.30,439658.79,439658.79,0.00,Paid,2025-02-25,Net 15,INR,REP000015,Sunita Gupta,PO-408777,GST12
INV0000003,CUST000001,Tata Tech Limited,2024-12-22,2025-01-06,201799.18,24215.90,226015.08,0.00,226015.08,Overdue,,Net 15,INR,REP000011,Priya Gupta,PO-337153,GST12
INV0000004,CUST000001,Tata Tech Limited,2025-02-02,2025-02-17,420635.19,50476.22,471111.41,471111.41,0.00,Paid,2025-04-05,Net 15,INR,REP000004,Sunil Gupta,PO-517744,GST12
INV0000005,CUST000001,Tata Tech Limited,2024-11-25,2024-12-10,243867.15,43896.09,287763.24,287763.24,0.00,Paid,2025-03-21,Net 15,INR,REP000012,Neha Gupta,PO-962934,GST18
INV0000006,CUST000001,Tata Tech Limited,2025-04-01,2025-04-16,440104.47,52812.54,492917.01,492917.01,0.00,Paid,2025-04-09,Net 15,INR,REP000032,Neha Mishra,PO-525966,GST12
INV0000011,CUST000002,Reliance Tech Limited,2025-01-23,2025-02-22,44730.29,2236.51,46966.80,46966.80,0.00,Paid,2025-02-25,Net 30,INR,REP000031,Priya Mishra,PO-561076,GST5
INV0000012,CUST000002,Reliance Tech Limited,2024-12-03,2025-01-02,40458.18,11328.29,51786.47,51786.47,0.00,Paid,2024-12-24,Net 30,INR,REP000037,Meena Mishra,PO-810962,GST28
INV0000013,CUST000002,Reliance Tech Limited,2024-11-16,2024-12-16,34528.85,4143.46,38672.31,38672.31,0.00,Paid,2025-03-30,Net 30,INR,REP000016,Anita Gupta,PO-889114,GST12
INV0000014,CUST000002,Reliance Tech Limited,2025-04-17,2025-05-17,59455.92,2972.80,62428.72,0.00,62428.72,Unpaid,,Net 30,INR,REP000028,Rakesh Mishra,PO-299848,GST5
INV0000015,CUST000002,Reliance Tech Limited,2025-03-16,2025-04-15,11451.10,572.56,12023.66,0.00,12023.66,Overdue,,Net 30,INR,REP000028,Rakesh Mishra,PO-804544,GST5
INV0000016,CUST000002,Reliance Tech Limited,2024-11-06,2024-12-06,42252.55,7605.46,49858.01,0.00,49858.01,Overdue,,Net 30,INR,REP000001,Raj Gupta,PO-939697,GST18
INV0000021,CUST000003,Infosys Tech Limited,2025-03-16,2025-03-31,450554.09,81099.74,531653.83,531653.83,0.00,Paid,2025-04-14,Net 15,INR,REP000037,Meena Mishra,PO-929269,GST18
INV0000022,CUST000003,Infosys Tech Limited,2025-02-27,2025-03-14,987742.91,118529.15,1106272.06,1106272.06,0.00,Paid,2025-03-07,Net 15,INR,REP000010,Ashok Gupta,PO-156447,GST12
INV0000023,CUST000003,Infosys Tech Limited,2025-02-22,2025-03-09,548161.98,153485.35,701647.33,0.00,701647.33,Overdue,,Net 15,INR,REP000005,Anil Gupta,PO-952418,GST28
INV0000031,CUST000004,Bharti Tech Limited,2025-02-01,2025-02-16,69138.97,8296.68,77435.65,77435.65,0.00,Paid,2025-03-19,Net 15,INR,REP000048,Rakesh Joshi,PO-499729,GST12
INV0000032,CUST000004,Bharti Tech Limited,2024-12-10,2024-12-25,69366.50,12485.97,81852.47,81852.47,0.00,Paid,2025-03-04,Net 15,INR,REP000045,Anil Joshi,PO-182632,GST18
INV0000033,CUST000004,Bharti Tech Limited,2024-12-04,2024-12-19,43465.70,12170.40,55636.10,55636.10,0.00,Paid,2025-02-25,Net 15,INR,REP000007,Sanjay Gupta,PO-744474,GST28
INV0000034,CUST000004,Bharti Tech Limited,2025-03-16,2025-03-31,84561.46,15221.06,99782.52,99782.52,0.00,Paid,2025-03-31,Net 15,INR,REP000007,Sanjay Gupta,PO-416296,GST18
INV0000035,CUST000004,Bharti Tech Limited,2024-11-10,2024-11-25,15400.94,2772.17,18173.11,18173.11,0.00,Paid,2025-03-14,Net 15,INR,REP000006,Rahul Gupta,PO-421986,GST18
INV0000041,CUST000005,HDFC Tech Limited,2025-01-28,2025-03-29,355728.14,64031.07,419759.21,419759.21,0.00,Paid,2025-03-09,Net 60,INR,REP000013,Pooja Gupta,PO-544224,GST18
