invoice_id,customer_id,customer_name,invoice_date,due_date,invoice_amount,tax_amount,total_amount,paid_amount,balance_amount,payment_status,payment_date,payment_terms,currency,sales_rep_id,sales_rep_name,reference_number,tax_type
INV0000001,CUST000001,Tata Tech Limited,2025-04-10,2025-05-10,1209066.35,217631.94,1426698.29,0.00,1426698.29,Unpaid,,Net 30,INR,REP000027,Sanjay Mishra,PO-328936,GST18
INV0000002,CUST000001,Tata Tech Limited,2025-03-08,2025-04-07,1576056.55,189126.79,1765183.34,1765183.34,0.00,Paid,2025-03-18,Net 30,INR,REP000034,Rani Mishra,PO-225620,GST12
INV0000003,CUST000001,Tata Tech Limited,2024-10-27,2024-11-26,961222.81,173020.11,1134242.92,1134242.92,0.00,Paid,2024-12-14,Net 30,INR,REP000048,Rakesh Joshi,PO-638379,GST18
INV0000004,CUST000001,Tata Tech Limited,2025-02-16,2025-03-18,263351.92,47403.35,310755.27,310755.27,0.00,Paid,2025-03-20,Net 30,INR,REP000002,Amit Gupta,PO-366282,GST18
INV0000005,CUST000001,Tata Tech Limited,2025-04-09,2025-05-09,555880.15,155646.44,711526.59,0.00,711526.59,Unpaid,,Net 30,INR,REP000028,Rakesh Mishra,PO-247337,GST28
INV0000006,CUST000001,Tata Tech Limited,2025-02-08,2025-03-10,871460.91,156862.96,1028323.87,0.00,1028323.87,Overdue,,Net 30,INR,REP000031,Priya Mishra,PO-313626,GST18
INV0000007,CUST000001,Tata Tech Limited,2025-03-28,2025-04-27,1911754.39,229410.53,2141164.92,0.00,2141164.92,Unpaid,,Net 30,INR,REP000016,Anita Gupta,PO-907687,GST12
INV0000008,CUST000001,Tata Tech Limited,2024-10-23,2024-11-22,808444.28,40422.21,848866.49,848866.49,0.00,Paid,2024-12-14,Net 30,INR,REP000023,Vijay Mishra,PO-370358,GST5
INV0000011,CUST000002,Reliance Tech Limited,2024-11-13,2024-12-13,121910.74,21943.93,143854.67,0.00,143854.67,Overdue,,Net 30,INR,REP000033,Pooja Mishra,PO-478986,GST18
INV0000012,CUST000002,Reliance Tech Limited,2025-02-16,2025-03-18,421025.23,75784.54,496809.77,496809.77,0.00,Paid,2025-02-22,Net 30,INR,REP000001,Raj Gupta,PO-363614,GST18
INV0000013,CUST000002,Reliance Tech Limited,2025-03-14,2025-04-13,197218.02,23666.16,220884.18,220884.18,0.00,Paid,2025-04-14,Net 30,INR,REP000026,Rahul Mishra,PO-764673,GST12
INV0000021,CUST000003,Infosys Tech Limited,2025-01-10,2025-02-24,168538.52,30336.93,198875.45,198875.45,0.00,Paid,2025-03-25,Net 45,INR,REP000028,Rakesh Mishra,PO-842755,GST18
INV0000022,CUST000003,Infosys Tech Limited,2025-03-23,2025-05-07,128651.03,23157.19,151808.22,53520.29,98287.92,Partial,2025-04-21,Net 45,INR,REP000024,Sunil Mishra,PO-298047,GST18
INV0000023,CUST000003,Infosys Tech Limited,2025-03-19,2025-05-03,260504.21,46890.76,307394.97,0.00,307394.97,Unpaid,,Net 45,INR,REP000028,Rakesh Mishra,PO-809740,GST18
INV0000031,CUST000004,Bharti Tech Limited,2025-03-03,2025-04-02,64925.81,11686.65,76612.46,0.00,76612.46,Overdue,,COD,INR,REP000027,Sanjay Mishra,PO-913661,GST18
INV0000032,CUST000004,Bharti Tech Limited,2025-04-13,2025-05-13,24414.86,4394.67,28809.53,28809.53,0.00,Paid,2025-05-03,COD,INR,REP000019,Shalini Gupta,PO-794554,GST18
INV0000033,CUST000004,Bharti Tech Limited,2025-03-31,2025-04-30,94047.08,16928.47,110975.55,110975.55,0.00,Paid,2025-04-21,COD,INR,REP000017,Meena Gupta,PO-773152,GST18
INV0000034,CUST000004,Bharti Tech Limited,2025-04-10,2025-05-10,56886.80,6826.42,63713.22,63713.22,0.00,Paid,2025-04-14,COD,INR,REP000027,Sanjay Mishra,PO-903198,GST12
INV0000035,CUST000004,Bharti Tech Limited,2025-02-17,2025-03-19,86261.61,4313.08,90574.69,90574.69,0.00,Paid,2025-04-03,COD,INR,REP000018,Kavita Gupta,PO-725543,GST5
INV0000036,CUST000004,Bharti Tech Limited,2025-01-31,2025-03-02,45827.08,8248.87,54075.95,54075.95,0.00,Paid,2025-03-20,COD,INR,REP000007,Sanjay Gupta,PO-223860,GST18
INV0000041,CUST000005,HDFC Tech Limited,2025-01-01,2025-01-31,301614.31,36193.72,337808.03,0.00,337808.03,Overdue,,Net 30,INR,REP000037,Meena Mishra,PO-883872,GST12
INV0000042,CUST000005,HDFC Tech Limited,2025-01-04,2025-02-03,164233.86,8211.69,172445.55,172445.55,0.00,Paid,2025-04-14,Net 30,INR,REP000032,Neha Mishra,PO-954281,GST5
INV0000043,CUST000005,HDFC Tech Limited,2025-03-12,2025-04-11,442747.04,53129.64,495876.68,495876.68,0.00,Paid,2025-03-31,Net 30,INR,REP000031,Priya Mishra,PO-963941,GST12
INV0000044,CUST000005,HDFC Tech Limited,2025-01-29,2025-02-28,263788.79,47481.98,311270.77,311270.77,0.00,Paid,2025-03-27,Net 30,INR,REP000050,Ashok Joshi,PO-392405,GST18
INV0000045,CUST000005,HDFC Tech Limited,2025-03-02,2025-04-01,480839.10,24041.96,504881.05,0.00,504881.05,Overdue,,Net 30,INR,REP000013,Pooja Gupta,PO-215625,GST5
INV0000051,CUST000006,Wipro Tech Limited,2025-02-17,2025-03-19,787181.70,141692.71,928874.41,0.00,928874.41,Overdue,,Net 30,INR,REP000005,Anil Gupta,PO-480830,GST18
